loc1,loc2,score
FIN,MYT,260
HND,MYT,373
PRT,MYT,696
AUT,MYT,508
BHR,MYT,684
DOM,MYT,1255
ETH,MYT,926
NZL,MYT,524
LKA,MYT,649
AZE,MYT,154
KEN,MYT,9127
SLV,MYT,159
GHA,MYT,2850
JOR,MYT,436
CHE,MYT,3237
CIV,MYT,12102
ROU,MYT,614
TUN,MYT,7163
BOL,MYT,344
SGP,MYT,219
BEL,MYT,4941
LBY,MYT,622
KHM,MYT,203
BLR,MYT,225
OMN,MYT,4063
SWE,MYT,555
CZE,MYT,178
GTM,MYT,154
ECU,MYT,242
UZB,MYT,87
NPL,MYT,304
HKG,MYT,217
QAT,MYT,2480
NLD,MYT,592
KWT,MYT,5598
KAZ,MYT,134
MYS,MYT,177
CHL,MYT,203
POL,MYT,202
ARG,MYT,198
AUS,MYT,477
ITA,MYT,663
KOR,MYT,102
TWN,MYT,52
NGA,MYT,1416
COL,MYT,249
PER,MYT,157
UKR,MYT,289
MAR,MYT,3897
MMR,MYT,75
CAN,MYT,1215
ARE,MYT,5184
ESP,MYT,892
EGY,MYT,838
PAK,MYT,425
THA,MYT,87
BGD,MYT,382
TUR,MYT,618
DZA,MYT,1441
GBR,MYT,575
DEU,MYT,585
PHL,MYT,277
SAU,MYT,1916
VNM,MYT,147
BRA,MYT,404
JPN,MYT,93
FRA,MYT,304984
MEX,MYT,154
IDN,MYT,241
USA,MYT,398
IND,MYT,194
SYC,UGA,35642
ATG,UGA,6566
GRD,UGA,9920
KIR,UGA,2002
TON,UGA,2884
STP,UGA,38750
FSM,UGA,969
LCA,UGA,5724
IMN,UGA,3535
ABW,UGA,1558
CYM,UGA,6781
JEY,UGA,8426
CPV,UGA,4683
SLB,UGA,4212
CUW,UGA,1884
BRB,UGA,4936
BHS,UGA,5360
CAF,UGA,42898
TLS,UGA,1547
BLZ,UGA,2728
ISL,UGA,5765
GNQ,UGA,52727
DJI,UGA,30214
MLT,UGA,5483
SUR,UGA,4841
PYF,UGA,281
GUF,UGA,4243
SWZ,UGA,32058
GUM,UGA,861
NCL,UGA,464
MNE,UGA,1418
GNB,UGA,26318
FJI,UGA,2079
MDV,UGA,4231
BTN,UGA,1258
COM,UGA,49517
GUY,UGA,6436
BWA,UGA,34254
MTQ,UGA,1985
LBR,UGA,143997
GLP,UGA,2341
BDI,UGA,303307
BRN,UGA,1226
GAB,UGA,20079
SLE,UGA,107689
LUX,UGA,16136
TCD,UGA,21678
PNG,UGA,8306
CYP,UGA,7097
TTO,UGA,4840
COG,UGA,31640
MUS,UGA,4507
LSO,UGA,17661
RWA,UGA,842161
MKD,UGA,1580
MRT,UGA,16570
MAC,UGA,500
GMB,UGA,29848
SVN,UGA,871
NER,UGA,30024
EST,UGA,862
JAM,UGA,13263
REU,UGA,4048
LVA,UGA,810
TGO,UGA,41881
MWI,UGA,169065
BIH,UGA,1099
GIN,UGA,29033
PRY,UGA,1204
MDG,UGA,11445
PRI,UGA,743
BFA,UGA,34760
MNG,UGA,392
UGA,UGA,18650751
CRI,UGA,1106
MOZ,UGA,34765
TJK,UGA,2302
HRV,UGA,851
AGO,UGA,17318
MDA,UGA,547
BEN,UGA,32049
LAO,UGA,383
LTU,UGA,626
ARM,UGA,467
ALB,UGA,1491
HTI,UGA,15143
MLI,UGA,35240
SRB,UGA,1577
PAN,UGA,968
GEO,UGA,751
NOR,UGA,8283
SEN,UGA,28863
NIC,UGA,1337
CMR,UGA,26402
IRL,UGA,3109
LBN,UGA,3226
TZA,UGA,156714
BGR,UGA,788
COD,UGA,125352
GRC,UGA,1637
KGZ,UGA,723
HUN,UGA,809
DNK,UGA,4762
SVK,UGA,602
FIN,UGA,3135
HND,UGA,968
PRT,UGA,1140
AUT,UGA,2269
BHR,UGA,64410
DOM,UGA,5434
ETH,UGA,25677
NZL,UGA,1794
LKA,UGA,2919
AZE,UGA,2515
KEN,UGA,197732
SLV,UGA,616
GHA,UGA,45585
JOR,UGA,14794
CHE,UGA,4505
CIV,UGA,37456
ROU,UGA,1225
TUN,UGA,2700
BOL,UGA,506
SGP,UGA,1783
BEL,UGA,3327
LBY,UGA,6612
KHM,UGA,656
BLR,UGA,1513
OMN,UGA,73832
SWE,UGA,12040
CZE,UGA,494
GTM,UGA,543
ECU,UGA,681
NPL,UGA,1228
HKG,UGA,797
QAT,UGA,147440
NLD,UGA,11340
KWT,UGA,9675
KAZ,UGA,982
MYS,UGA,1062
CHL,UGA,571
POL,UGA,604
ARG,UGA,685
AUS,UGA,4002
ITA,UGA,1413
KOR,UGA,992
TWN,UGA,257
NGA,UGA,22188
COL,UGA,893
PER,UGA,505
UKR,UGA,983
MAR,UGA,3587
MMR,UGA,1348
CAN,UGA,6360
ARE,UGA,219939
ESP,UGA,978
EGY,UGA,4110
PAK,UGA,4705
THA,UGA,311
BGD,UGA,2587
TUR,UGA,4555
DZA,UGA,2941
GBR,UGA,7174
DEU,UGA,4254
PHL,UGA,1381
SAU,UGA,93475
BRA,UGA,992
JPN,UGA,932
FRA,UGA,2252
MEX,UGA,472
IDN,UGA,888
IND,UGA,2127
SYC,ZMB,35588
ATG,ZMB,7549
GRD,ZMB,9702
KIR,ZMB,2550
TON,ZMB,3795
STP,ZMB,49378
VCT,ZMB,8183
FSM,ZMB,818
LCA,ZMB,5662
IMN,ZMB,1510
ABW,ZMB,743
CYM,ZMB,3865
JEY,ZMB,2364
CPV,ZMB,4397
VUT,ZMB,2054
SLB,ZMB,3382
CUW,ZMB,1757
BRB,ZMB,3550
BHS,ZMB,5243
CAF,ZMB,74394
WSM,ZMB,1441
TLS,ZMB,905
BLZ,ZMB,2066
MYT,ZMB,9543
ISL,ZMB,836
GNQ,ZMB,15846
DJI,ZMB,7489
MLT,ZMB,1958
SUR,ZMB,5244
PYF,ZMB,217
GUF,ZMB,4080
SWZ,ZMB,98658
GUM,ZMB,518
NCL,ZMB,255
MNE,ZMB,729
GNB,ZMB,17610
FJI,ZMB,2404
MDV,ZMB,2456
BTN,ZMB,818
COM,ZMB,11757
GUY,ZMB,7812
BWA,ZMB,158433
MTQ,ZMB,1717
LBR,ZMB,414102
GLP,ZMB,2156
BDI,ZMB,318660
BRN,ZMB,661
GAB,ZMB,21537
SLE,ZMB,326834
LUX,ZMB,1095
TCD,ZMB,11651
PNG,ZMB,7545
CYP,ZMB,8695
TTO,ZMB,4175
COG,ZMB,36535
MUS,ZMB,4687
LSO,ZMB,55023
RWA,ZMB,180046
MKD,ZMB,607
MRT,ZMB,14235
MAC,ZMB,268
GMB,ZMB,22964
SVN,ZMB,367
NER,ZMB,16426
EST,ZMB,367
JAM,ZMB,13171
REU,ZMB,1731
KOS,ZMB,596
LVA,ZMB,359
TGO,ZMB,31763
MWI,ZMB,662260
ZMB,ZMB,24759524
BIH,ZMB,430
GIN,ZMB,28285
PRY,ZMB,748
MDG,ZMB,13441
PRI,ZMB,340
BFA,ZMB,22674
URY,ZMB,391
MNG,ZMB,311
UGA,ZMB,114702
CRI,ZMB,657
MOZ,ZMB,52043
TJK,ZMB,1036
HRV,ZMB,402
AGO,ZMB,28759
MDA,ZMB,234
BEN,ZMB,37648
LAO,ZMB,314
LTU,ZMB,311
ARM,ZMB,252
ALB,ZMB,724
HTI,ZMB,21031
MLI,ZMB,22817
SRB,ZMB,757
PAN,ZMB,732
GEO,ZMB,433
NOR,ZMB,1752
SEN,ZMB,20014
NIC,ZMB,993
CMR,ZMB,28325
IRL,ZMB,1815
LBN,ZMB,4879
TZA,ZMB,86259
BGR,ZMB,393
COD,ZMB,91154
GRC,ZMB,778
KGZ,ZMB,381
HUN,ZMB,288
DNK,ZMB,1455
SVK,ZMB,255
FIN,ZMB,3033
HND,ZMB,710
PRT,ZMB,706
AUT,ZMB,620
BHR,ZMB,2392
DOM,ZMB,6986
ETH,ZMB,5149
NZL,ZMB,1423
LKA,ZMB,1970
AZE,ZMB,1075
KEN,ZMB,41512
SLV,ZMB,427
GHA,ZMB,38947
JOR,ZMB,790
CHE,ZMB,1068
CIV,ZMB,24941
ROU,ZMB,665
TUN,ZMB,2044
BOL,ZMB,375
SGP,ZMB,524
BEL,ZMB,1081
LBY,ZMB,2676
KHM,ZMB,603
BLR,ZMB,632
OMN,ZMB,3725
SWE,ZMB,1822
CZE,ZMB,355
GTM,ZMB,355
ECU,ZMB,473
UZB,ZMB,637
NPL,ZMB,779
HKG,ZMB,434
QAT,ZMB,3950
NLD,ZMB,1192
KWT,ZMB,2001
KAZ,ZMB,417
MYS,ZMB,584
CHL,ZMB,543
ZAF,ZMB,61516
POL,ZMB,306
ARG,ZMB,369
AUS,ZMB,2290
ITA,ZMB,733
KOR,ZMB,301
TWN,ZMB,120
NGA,ZMB,22263
COL,ZMB,629
PER,ZMB,440
UKR,ZMB,615
MAR,ZMB,2670
MMR,ZMB,235
CAN,ZMB,1678
ARE,ZMB,4398
ESP,ZMB,453
EGY,ZMB,1564
PAK,ZMB,2472
THA,ZMB,155
BGD,ZMB,1624
TUR,ZMB,1126
DZA,ZMB,2041
GBR,ZMB,3109
DEU,ZMB,903
PHL,ZMB,1197
SAU,ZMB,2632
VNM,ZMB,304
BRA,ZMB,598
JPN,ZMB,308
FRA,ZMB,637
MEX,ZMB,336
IDN,ZMB,358
USA,ZMB,1530
IND,ZMB,1437
SYC,ZWE,30370
ATG,ZWE,4962
GRD,ZWE,5777
KIR,ZWE,868
TON,ZWE,2745
STP,ZWE,10810
VCT,ZWE,4806
FSM,ZWE,302
LCA,ZWE,5150
IMN,ZWE,21989
ABW,ZWE,473
CYM,ZWE,44026
JEY,ZWE,50092
CPV,ZWE,2103
VUT,ZWE,1008
SLB,ZWE,1905
CUW,ZWE,1187
BRB,ZWE,2780
BHS,ZWE,4122
CAF,ZWE,6822
WSM,ZWE,1138
TLS,ZWE,522
BLZ,ZWE,3002
MYT,ZWE,1650
ISL,ZWE,464
GNQ,ZWE,18299
DJI,ZWE,4668
MLT,ZWE,3502
SUR,ZWE,1884
PYF,ZWE,166
GUF,ZWE,1404
SWZ,ZWE,141945
GUM,ZWE,311
NCL,ZWE,199
MNE,ZWE,615
GNB,ZWE,7596
FJI,ZWE,1353
MDV,ZWE,2803
BTN,ZWE,542
COM,ZWE,2814
GUY,ZWE,3514
BWA,ZWE,706766
MTQ,ZWE,663
LBR,ZWE,67238
GLP,ZWE,830
BDI,ZWE,12063
BRN,ZWE,616
GAB,ZWE,5381
SLE,ZWE,69742
LUX,ZWE,1795
TCD,ZWE,3439
PNG,ZWE,2830
CYP,ZWE,84673
TTO,ZWE,2807
COG,ZWE,12637
MUS,ZWE,10838
LSO,ZWE,56483
RWA,ZWE,22624
MKD,ZWE,388
MRT,ZWE,3340
MAC,ZWE,359
GMB,ZWE,8896
SVN,ZWE,316
NER,ZWE,5664
EST,ZWE,438
JAM,ZWE,8358
REU,ZWE,667
KOS,ZWE,262
LVA,ZWE,277
TGO,ZWE,10654
MWI,ZWE,91064
ZMB,ZWE,196035
BIH,ZWE,287
GIN,ZWE,8042
PRY,ZWE,308
MDG,ZWE,2278
PRI,ZWE,193
ZWE,ZWE,20247600
BFA,ZWE,5969
URY,ZWE,219
MNG,ZWE,198
UGA,ZWE,22714
CRI,ZWE,435
MOZ,ZWE,89644
TJK,ZWE,514
HRV,ZWE,373
AGO,ZWE,11986
MDA,ZWE,153
BEN,ZWE,6547
LAO,ZWE,175
LTU,ZWE,330
ARM,ZWE,182
ALB,ZWE,369
HTI,ZWE,4738
MLI,ZWE,7077
SRB,ZWE,507
PAN,ZWE,415
GEO,ZWE,284
NOR,ZWE,1979
SEN,ZWE,7788
NIC,ZWE,359
CMR,ZWE,6216
IRL,ZWE,15387
LBN,ZWE,816
TZA,ZWE,17814
BGR,ZWE,419
COD,ZWE,18831
GRC,ZWE,809
KGZ,ZWE,248
HUN,ZWE,421
DNK,ZWE,1123
SVK,ZWE,339
FIN,ZWE,1074
HND,ZWE,280
PRT,ZWE,817
AUT,ZWE,994
BHR,ZWE,5994
DOM,ZWE,1416
ETH,ZWE,3042
NZL,ZWE,9300
LKA,ZWE,1000
AZE,ZWE,543
KEN,ZWE,14590
SLV,ZWE,176
GHA,ZWE,17103
JOR,ZWE,357
CHE,ZWE,2186
CIV,ZWE,7418
ROU,ZWE,359
TUN,ZWE,669
BOL,ZWE,175
SGP,ZWE,601
BEL,ZWE,1171
LBY,ZWE,888
KHM,ZWE,199
BLR,ZWE,505
OMN,ZWE,3236
SWE,ZWE,1564
CZE,ZWE,676
GTM,ZWE,150
ECU,ZWE,210
UZB,ZWE,287
NPL,ZWE,317
HKG,ZWE,596
QAT,ZWE,7693
NLD,ZWE,2021
KWT,ZWE,1474
KAZ,ZWE,283
MYS,ZWE,699
CHL,ZWE,205
ZAF,ZWE,366466
POL,ZWE,3445
ARG,ZWE,192
AUS,ZWE,13012
ITA,ZWE,553
KOR,ZWE,351
TWN,ZWE,129
NGA,ZWE,7940
COL,ZWE,251
PER,ZWE,168
UKR,ZWE,728
MAR,ZWE,812
MMR,ZWE,146
CAN,ZWE,5478
ARE,ZWE,20620
ESP,ZWE,457
EGY,ZWE,570
PAK,ZWE,1189
THA,ZWE,154
BGD,ZWE,748
TUR,ZWE,711
DZA,ZWE,1010
GBR,ZWE,20517
DEU,ZWE,2674
PHL,ZWE,436
SAU,ZWE,1128
VNM,ZWE,185
BRA,ZWE,246
JPN,ZWE,440
FRA,ZWE,548
MEX,ZWE,150
IDN,ZWE,185
USA,ZWE,1926
IND,ZWE,616
SYC,VCT,26319
ATG,VCT,11065040
GRD,VCT,29268432
KIR,VCT,4681
TON,VCT,2926
STP,VCT,8052
VCT,VCT,604786369
FSM,VCT,5199
LCA,VCT,6258641
IMN,VCT,5938
ABW,VCT,86054
CYM,VCT,601754
JEY,VCT,13052
CPV,VCT,3272
SLB,VCT,6414
CUW,VCT,180886
BRB,VCT,8757277
BHS,VCT,505154
CAF,VCT,2686
TLS,VCT,582
BLZ,VCT,368009
ISL,VCT,2802
GNQ,VCT,21050
DJI,VCT,2156
MLT,VCT,3649
SUR,VCT,653302
PYF,VCT,2056
GUF,VCT,166411
SWZ,VCT,5996
GUM,VCT,5730
NCL,VCT,587
MNE,VCT,2961
GNB,VCT,3059
FJI,VCT,21406
MDV,VCT,13286
BTN,VCT,503
COM,VCT,1952
GUY,VCT,1115400
BWA,VCT,13835
MTQ,VCT,149431
LBR,VCT,36332
GLP,VCT,86968
BDI,VCT,1715
BRN,VCT,1737
GAB,VCT,4670
SLE,VCT,19616
LUX,VCT,1047
TCD,VCT,1887
PNG,VCT,2360
CYP,VCT,8380
TTO,VCT,1663484
COG,VCT,5039
MUS,VCT,11820
LSO,VCT,2447
RWA,VCT,2729
MKD,VCT,1213
MRT,VCT,2034
MAC,VCT,506
GMB,VCT,12113
SVN,VCT,721
NER,VCT,2035
EST,VCT,531
JAM,VCT,1233388
REU,VCT,1232
LVA,VCT,1244
TGO,VCT,5439
MWI,VCT,3017
BIH,VCT,595
GIN,VCT,2622
PRY,VCT,782
MDG,VCT,1714
PRI,VCT,2905
BFA,VCT,1894
URY,VCT,1567
MNG,VCT,232
UGA,VCT,7555
CRI,VCT,2083
MOZ,VCT,3077
TJK,VCT,240
HRV,VCT,1460
AGO,VCT,3876
MDA,VCT,268
BEN,VCT,5911
LAO,VCT,108
LTU,VCT,434
ARM,VCT,375
ALB,VCT,549
HTI,VCT,45663
MLI,VCT,2702
SRB,VCT,1512
PAN,VCT,2737
GEO,VCT,3306
NOR,VCT,2202
SEN,VCT,5354
NIC,VCT,2776
CMR,VCT,4290
IRL,VCT,3817
LBN,VCT,3763
TZA,VCT,3632
BGR,VCT,806
COD,VCT,3366
GRC,VCT,786
KGZ,VCT,694
HUN,VCT,1030
DNK,VCT,1231
SVK,VCT,677
FIN,VCT,603
HND,VCT,2464
PRT,VCT,808
AUT,VCT,1851
BHR,VCT,1310
DOM,VCT,11070
ETH,VCT,1340
NZL,VCT,2755
LKA,VCT,1377
AZE,VCT,278
KEN,VCT,7433
SLV,VCT,972
GHA,VCT,14128
JOR,VCT,565
CHE,VCT,2604
CIV,VCT,3291
ROU,VCT,842
TUN,VCT,641
BOL,VCT,758
SGP,VCT,759
BEL,VCT,1911
LBY,VCT,391
KHM,VCT,197
BLR,VCT,582
OMN,VCT,2176
SWE,VCT,1843
CZE,VCT,370
GTM,VCT,629
ECU,VCT,1064
UZB,VCT,171
NPL,VCT,1016
HKG,VCT,538
QAT,VCT,1860
NLD,VCT,3368
KWT,VCT,850
KAZ,VCT,365
MYS,VCT,548
CHL,VCT,906
POL,VCT,335
ARG,VCT,475
AUS,VCT,2251
ITA,VCT,983
KOR,VCT,233
TWN,VCT,6584
NGA,VCT,11904
COL,VCT,957
PER,VCT,569
UKR,VCT,457
MAR,VCT,764
MMR,VCT,111
CAN,VCT,147848
ARE,VCT,2606
ESP,VCT,932
EGY,VCT,504
PAK,VCT,770
THA,VCT,177
BGD,VCT,513
TUR,VCT,432
DZA,VCT,510
GBR,VCT,60782
DEU,VCT,1292
PHL,VCT,1248
SAU,VCT,814
BRA,VCT,606
JPN,VCT,417
FRA,VCT,1663
MEX,VCT,529
IDN,VCT,460
USA,VCT,26879
IND,VCT,366
SYC,TZA,22334
ATG,TZA,3294
GRD,TZA,4263
KIR,TZA,1992
TON,TZA,997
STP,TZA,25001
FSM,TZA,666
LCA,TZA,3640
IMN,TZA,662
ABW,TZA,692
CYM,TZA,3165
JEY,TZA,811
CPV,TZA,2974
SLB,TZA,3654
CUW,TZA,910
BRB,TZA,2538
BHS,TZA,2627
CAF,TZA,49632
TLS,TZA,978
BLZ,TZA,1252
ISL,TZA,958
GNQ,TZA,16943
DJI,TZA,12899
MLT,TZA,1949
SUR,TZA,3004
PYF,TZA,267
GUF,TZA,3320
SWZ,TZA,21150
GUM,TZA,517
NCL,TZA,474
MNE,TZA,796
GNB,TZA,14338
FJI,TZA,1439
MDV,TZA,4177
BTN,TZA,802
COM,TZA,308287
GUY,TZA,3800
BWA,TZA,20099
MTQ,TZA,1182
LBR,TZA,68370
GLP,TZA,1797
BDI,TZA,500928
BRN,TZA,779
GAB,TZA,16944
SLE,TZA,56113
LUX,TZA,1797
TCD,TZA,67532
PNG,TZA,7378
CYP,TZA,2429
TTO,TZA,2529
COG,TZA,27494
MUS,TZA,3631
LSO,TZA,12468
RWA,TZA,134346
MKD,TZA,724
MRT,TZA,14286
MAC,TZA,641
GMB,TZA,16729
SVN,TZA,578
NER,TZA,125156
EST,TZA,347
JAM,TZA,7402
REU,TZA,30379
LVA,TZA,380
TGO,TZA,36458
MWI,TZA,116699
BIH,TZA,403
GIN,TZA,25113
PRY,TZA,627
MDG,TZA,13675
PRI,TZA,288
BFA,TZA,39649
MNG,TZA,324
CRI,TZA,540
MOZ,TZA,45202
TJK,TZA,1716
HRV,TZA,464
AGO,TZA,20535
MDA,TZA,367
BEN,TZA,30340
LAO,TZA,331
LTU,TZA,270
ARM,TZA,282
ALB,TZA,624
HTI,TZA,11329
MLI,TZA,41804
SRB,TZA,586
PAN,TZA,668
GEO,TZA,443
NOR,TZA,2091
SEN,TZA,14404
NIC,TZA,812
CMR,TZA,21455
IRL,TZA,1089
LBN,TZA,2420
TZA,TZA,10671078
BGR,TZA,594
COD,TZA,64841
GRC,TZA,674
KGZ,TZA,607
HUN,TZA,410
DNK,TZA,1602
SVK,TZA,344
FIN,TZA,1624
HND,TZA,609
PRT,TZA,538
AUT,TZA,914
BHR,TZA,6266
DOM,TZA,3017
ETH,TZA,7296
NZL,TZA,695
LKA,TZA,2226
AZE,TZA,1099
KEN,TZA,162979
SLV,TZA,411
GHA,TZA,51520
JOR,TZA,1227
CHE,TZA,1472
CIV,TZA,47819
ROU,TZA,580
TUN,TZA,2253
BOL,TZA,343
SGP,TZA,628
BEL,TZA,1277
LBY,TZA,19909
KHM,TZA,426
BLR,TZA,863
OMN,TZA,59023
SWE,TZA,2600
CZE,TZA,375
GTM,TZA,334
ECU,TZA,416
NPL,TZA,837
HKG,TZA,557
QAT,TZA,11372
NLD,TZA,1424
KWT,TZA,3187
KAZ,TZA,643
MYS,TZA,671
CHL,TZA,345
POL,TZA,547
ARG,TZA,338
AUS,TZA,1211
ITA,TZA,1090
KOR,TZA,484
TWN,TZA,256
NGA,TZA,23992
COL,TZA,531
PER,TZA,353
MAR,TZA,3343
MMR,TZA,398
CAN,TZA,1949
ARE,TZA,9269
ESP,TZA,618
EGY,TZA,2464
PAK,TZA,3283
THA,TZA,229
BGD,TZA,2402
TUR,TZA,1406
DZA,TZA,2797
GBR,TZA,2055
DEU,TZA,1191
PHL,TZA,765
SAU,TZA,6024
BRA,TZA,451
JPN,TZA,398
FRA,TZA,867
MEX,TZA,301
IDN,TZA,575
IND,TZA,1599
SYC,SEN,15442
ATG,SEN,5537
GRD,SEN,4695
KIR,SEN,1090
FSM,SEN,360
LCA,SEN,4090
IMN,SEN,203
ABW,SEN,1615
CYM,SEN,2425
JEY,SEN,391
CPV,SEN,120759
SLB,SEN,1269
CUW,SEN,2357
BRB,SEN,3410
BHS,SEN,3826
CAF,SEN,270924
BLZ,SEN,2748
ISL,SEN,2541
GNQ,SEN,141925
DJI,SEN,90045
MLT,SEN,8496
PYF,SEN,1447
GUF,SEN,26752
GUM,SEN,1298
NCL,SEN,2643
MNE,SEN,1001
GNB,SEN,917187
FJI,SEN,1003
MDV,SEN,1073
BTN,SEN,457
COM,SEN,141106
GUY,SEN,4637
BWA,SEN,22754
MTQ,SEN,10730
LBR,SEN,86144
GLP,SEN,13508
BDI,SEN,16919
BRN,SEN,363
GAB,SEN,431544
SLE,SEN,159423
LUX,SEN,29097
PNG,SEN,2331
CYP,SEN,4755
COG,SEN,260489
MUS,SEN,2512
LSO,SEN,7222
RWA,SEN,11792
MKD,SEN,674
MRT,SEN,875342
MAC,SEN,420
GMB,SEN,928775
SVN,SEN,562
NER,SEN,97853
EST,SEN,301
JAM,SEN,9501
REU,SEN,7479
LVA,SEN,566
MWI,SEN,4929
BIH,SEN,512
GIN,SEN,895863
PRY,SEN,1364
MDG,SEN,14611
PRI,SEN,418
BFA,SEN,131695
MNG,SEN,278
CRI,SEN,938
MOZ,SEN,14092
