digit,9,8,7,6,5,4,3,2,1
0,0,4538576,5025125,5079361,5084646,5086019,5085293,5085305,0
1,5317482,5134595,5091909,5084726,5085016,5086122,5084007,5085074,12711386
2,5173388,5110390,5089838,5085231,5083672,5082888,5084648,5084155,1
3,5084001,5092131,5087141,5085171,5083554,5083859,5083412,5084456,12712499
4,5019541,5078572,5083734,5085473,5083442,5085316,5084871,5084002,0
5,4968836,5065183,5082370,5086115,5083805,5085881,5085809,5085671,1
6,4928228,5054960,5079667,5081822,5084353,5084867,5085304,5084994,0
7,4893248,5045468,5079445,5082607,5084853,5085277,5084102,5085432,12712314
8,4863036,5035941,5074783,5083608,5087373,5086020,5084760,5084257,0
9,4838319,5027139,5075024,5083828,5085591,5081117,5085303,5084184,12711333
